"Country","Deaths_in_Million","Deaths","Cases","iso3c","Region","Population-000-2021","Pop-density-per-km2-2021","Capital-city","Capital-city-pop000-2021","UN-membership-date","Surface-area-km2","Sex-ratio-m-per-100-f","National-currency","Exchange-rate-per-us","GDP-million-US","GDP-growth-rate-annual-const","GDP-per-capita-current-US","Agricultural-production-index","International-trade-exports-million-current-US","International-trade-imports-million-current-US","International-trade-balance-million-current-US","Balance-of-payments-current-million-US","Urban-population-of-total-population","Obesity-rate","Vaccinated","Percent"
"Malta",1653,882,120422,"MLT","Southern Europe",443,1383.7,"Valletta",212.8,"01-Dec-64",1565,100.7,"Euro (EUR)",0.8,14864,4.7,33752.4,71,"3514",5783,-2269,-576,94.7,28.9,478810,89.78
"Iran",1653,146410,7617752,"IRN","Southern Asia",85029,52.2,"Tehran",9013.7,"24-Oct-45",1628777,101.9,"Iranian Rial (IRR)",42000,603780,-6.5,7282,96,NA,NA,NA,NA,75.4,25.8,65194977,73.62
"Switzerland",1608,14055,4413452,"CHE","Western Europe",8716,220.6,"Bern",426,"10-Sep-02",41291,98.5,"Swiss Franc (CHF)",0.9,731425,1.1,85135,97,"318415",290325,28090,28094,73.8,19.5,6096911,69.75
"Guyana",1606,1299,73387,"GUY","South America",790,4,"Georgetown",109.9,"20-Sep-66",214969,101.3,"Guyana Dollar (GYD)",208.5,5174,5.4,6609.6,132,"2814",2494,320,-1696,26.7,20.2,495285,61.24
"Seychelles",1605,172,50937,"SYC","Eastern Africa",99,215,"Victoria",28.1,"21-Sep-76",457,105.1,"Seychelles Rupee (SCR)",21.6,1699,4.7,17381.7,92,"546",1041,-496,-330,57.1,14,88520,82.62
"Namibia",1596,4098,171998,"NAM","Southern Africa",2587,3.1,"Windhoek",417.4,"23-Apr-90",824116,94.1,"Namibia Dollar (NAD)",14.6,12366,-1.1,4957.4,100,"5600",6823,-1223,180,51,17.2,629473,24.52
"Curaçao",1595,305,45883,"CUW","Caribbean",165,371.2,"Willemstad",144,NA,444,85.3,"Neth. Ant. Guilder (ANG)c",1.8,3102,-3.4,18980,NA,NA,NA,NA,-539,89.1,NA,108601,56.81
"Antigua and Barbuda",1556,146,9106,"ATG","Caribbean",99,224.4,"Saint John's",20.8,"11-Nov-81",442,93.4,"E. Caribbean Dollar (XCD)c",2.7,1662,3.4,17112.8,93,"22",401,-380,-113,24.5,18.9,64290,68.97
"Luxembourg",1544,1000,384378,"LUX","Western Europe",635,245.1,"Luxembourg",119.8,"24-Oct-45",2586,102.4,"Euro (EUR)",0.8,71105,2.3,115480.9,111,"13442",20610,-7167,2999,91.2,22.6,481957,74.42
"Cyprus",1522,1364,660854,"CYP","Western Asia",1216,131.6,"Nicosia",269.5,"20-Sep-60",9251,99.9,"Euro (EUR)",0.8,NA,NA,NA,106,"2741",7504,-4763,-2850,NA,21.8,670969,74.88
"Caribbean Netherlands",1515,41,11922,"BES","Caribbean",26,80.6,"Kralendijk",11.3,NA,NA,NA,"US Dollar (USD)",NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,19109,72.26
"Denmark",1500,8824,3417017,"DNK","Northern Europe",5813,137,"Copenhagen",1333.9,"24-Oct-45",42934,98.8,"Danish Krone (DKK)",6.1,350104,2.8,60656.9,101,"107224",96791,10433,26023,88,19.7,4752101,80.79
"Jersey",1453,161,66391,"JEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84365,76.14
"Canada",1385,53260,4712542,"CAN","Northern America",38068,4.2,"Ottawa",1378.2,"09-Nov-45",9984670,98.6,"Canadian Dollar (CAD)",1.3,1741497,1.9,46550.3,111,NA,NA,NA,-29722,81.5,29.8,34763194,90.4
"Isle of Man",1372,116,38008,"IMN","Northern Europe",85,149.8,"Douglas",27.2,NA,572,NA,"Pound Sterling (GBP)",0.8,NA,NA,NA,NA,NA,NA,NA,NA,52.7,NA,69560,81.44
"Israel",1343,12691,4839886,"ISR","Western Asia",8790,406.2,"Jerusalemc",919.4,"11-May-49",22072,99.2,"New Israeli Sheqel (ILS)",3.2,395099,3.5,46376.5,95,"49761",70162,-20401,24350,92.5,26.1,6723119,71.15
"Netherlands",1308,22986,8618815,"NLD","Western Europe",17173,509.3,"Amsterdamc",1140.3,"10-Dec-45",41543,99.4,"Euro (EUR)",0.8,907051,1.7,53052.8,100,"551598",482764,68834,71062,91.9,20.4,12596446,71.72
"Jamaica",1275,3606,156328,"JAM","Caribbean",2974,274.6,"Kingston",589.8,"18-Sep-62",10990,98.5,"Jamaican Dollar (JMD)",141.7,15831,0.9,5369.5,105,"1190",4651,-3461,-35,56,24.7,859773,30.41
"Albania",1267,3604,334090,"ALB","Southern Europe",2873,104.9,"Tirana",484.6,"14-Dec-55",28748,103.6,"Lek (ALL)",100.8,15278,2.2,5303.2,103,NA,NA,NA,-1318,61.2,21.7,1348396,47.44
"Jordan",1251,14122,1746997,"JOR","Western Asia",10269,115.7,"Amman",2108.5,"14-Dec-55",89318,102.6,"Jordanian Dinar (JOD)",0.7,44503,2,4405.5,95,"7646",16889,-9242,-1003,91.2,35.5,4821579,43.25
"Saint Vincent and the Grenadines",1192,124,9644,"VCT","Caribbean",111,285.3,"Kingstown",26.6,"16-Sep-80",389,102.5,"E. Caribbean Dollar (XCD)c",2.7,825,0.3,7463.5,104,"54",321,-267,-99,52.6,23.7,37527,36.1
"Turkey",1188,101419,17004677,"TUR","Western Asia",85043,110.5,"Ankara",5018,"24-Oct-45",783562,97.5,"Turkish Lira (TRY)",7.4,761426,0.9,9126.6,111,"169658",219514,-49856,-37315,75.6,32.1,57941051,67.89
"Eswatini",1187,1427,74996,"SWZ","Southern Africa",1172,68.2,"Mbabanec",68,"24-Sep-68",17363,97,"Lilangeni (SZL)",14.6,4594,1.1,4001.6,101,"2248",2076,172,255,24,16.5,526050,43.78
"Guatemala",1134,20235,1271070,"GTM","Central America",18250,170.3,"Guatemala City",2891.2,"21-Nov-45",108889,97.2,"Quetzal (GTQ)",7.8,76710,3.8,4363.1,106,"11658",18198,-6539,4249,51.4,21.2,8933623,50.07
"Malaysia",1095,37194,5129131,"MYS","South-eastern Asia",32776,99.8,"Kuala Lumpurd",7780.3,"17-Sep-57",330621,105.6,"Malaysian Ringgit (MYR)",4,364684,4.3,11414.3,105,"234042",189804,44238,14848,NA,15.6,28132491,82.89
"Palestine",1087,5708,703228,"PSE","Western Asia",5223,867.6,"East Jerusalemd",275.1,NA,6025,102.9,NA,NA,17059,0.9,3424.5,109,"1130",5750,-4620,-1834,NA,NA,2012767,38.34
"New Caledonia",1082,314,80064,"NCL","Melanesia",288,15.8,"Nouméa",197.8,NA,19100,100.9,"CFP Franc (XPF)c",97.2,9880,1.6,34941.5,100,"1634",2599,-965,-654,71.1,NA,192375,66.35
"Honduras",1066,11127,474587,"HND","Central America",10063,89.9,"Tegucigalpa",1403.2,"17-Dec-45",112492,99.9,"Lempira (HNL)",24.1,25095,2.7,2574.9,116,"3110",7921,-4811,694,57.7,21.4,6596213,63.23
"Botswana",1064,2800,330275,"BWA","Southern Africa",2397,4.2,"Gaborone",269.3,"17-Oct-66",582000,94.2,"Pula (BWP)",10.8,18341,3,7961.4,98,"4256",6503,-2247,-1397,70.2,18.9,1951054,74.18
"Guernsey",1057,67,35326,"GGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54223,85.62
"Norway",1049,5705,1489076,"NOR","Northern Europe",5466,15,"Oslo",1026.8,"27-Nov-45",323772,102.3,"Norwegian Krone (NOK)",8.5,403336,1.2,74985.5,102,"82665",81304,1361,7185,NA,23.1,4346995,79.99
"Bahrain",1043,1536,696614,"BHR","Western Asia",1748,2300.4,"Manama",600.4,"21-Sep-71",778,184.5,"Bahraini Dinar (BHD)",0.4,38574,1.8,23504,129,"14066",14193,-127,-2435,89.4,NA,1241174,84.31
"Dominica",1017,74,15760,"DMA","Caribbean",72,96.2,"Roseau",14.9,"18-Dec-78",750,NA,"E. Caribbean Dollar (XCD)c",2.7,582,3.6,8110.5,99,"14",197,-183,-225,70.8,27.9,32995,45.57
"Oman",1011,4628,399449,"OMN","Western Asia",5223,16.9,"Muscat",1501.6,"07-Oct-71",309980,193.5,"Rial Omani (OMR)",0.4,76332,-0.8,15343.1,133,"29870",21123,8748,-4140,85.4,27,3257365,71.18
"Azerbaijan",997,10332,833189,"AZE","Western Asia",10223,123.7,"Baku",2313.1,"02-Mar-92",86600,99.9,"Azerbaijan manat (AZN)",1.7,48048,2.2,4781.9,126,"13741",10730,3011,-228,NA,19.9,5373253,52.1
"Kazakhstan",983,19072,1502857,"KAZ","Central Asia",18995,7,"Nur-Sultan",1117.6,"02-Mar-92",2724902,94.4,"Tenge (KZT)",420.9,181667,4.5,9792.6,111,"44929",37855,7074,-6273,57.5,21,10858101,55.98
"Saint Kitts and Nevis",964,46,6607,"KNA","Caribbean",54,205.9,"Basseterre",14.4,"23-Sep-83",261,NA,"E. Caribbean Dollar (XCD)c",2.7,1051,2.5,19896.5,92,"53",272,-219,-72,30.8,22.9,33794,70.88
"Fiji",951,885,69047,"FJI","Melanesia",903,49.4,"Suva",178.3,"13-Oct-70",18272,102.5,"Fiji Dollar (FJD)",2,5504,0.5,6185.1,114,"771",1901,-1130,-602,56.8,30.2,712025,76.58
"Libya",944,6437,507269,"LBY","Northern Africa",6958,4,"Tripoli",1160.9,"14-Dec-55",1676198,101.9,"Libyan Dinar (LYD)",1.4,32600,9.9,4810.1,102,"66843",28468,38375,11276,80.4,32.5,2316327,34
"Australia",883,23129,11608166,"AUS","Oceania",25788,3.4,"Canberra",452.5,"01-Nov-45",7692024,99.2,"Australian Dollar (AUD)",1.3,1380208,-0.3,54763.2,89,NA,NA,NA,33829,NA,29,22236698,84.95
"Turks and Caicos Islands",852,39,6630,"TCA","Caribbean",39,41.3,"Cockburn Town",0.1,NA,948,NA,"US Dollar (USD)",NA,1197,5.3,31353.5,NA,NA,NA,NA,173,93.4,NA,32815,71.76
